year,semester,lecture_type,prof,name,class,prob_success,prob_success_m,prob_success_um,mileage_cut,mileage_cut_m,mileage_cut_um
2022,1,1,김일문,수리통계학(2),None,0.889,1.0,0.724,3,1.0,3.0
2021,2,1,강승호,수리통계학(2),None,0.797,0.93,0.524,12,2.0,12.0
2021,1,0,임종호,수리통계학(2),None,0.988,1.0,0.958,1,1.0,1.0
2020,2,1,강승호,수리통계학(2),None,0.835,1.0,0.612,12,1.0,12.0
2022,2,1,김일문,수리통계학(2),None,0.586,0.909,0.16,12,2.0,12.0
2021,1,0,최원욱,회계원리(1),(분반2),0.219,,0.219,12,,12.0
2020,2,0,최원욱,회계원리(1),None,0.912,0.912,,12,12.0,
2022,2,2,이호영,회계원리(1),(분반2),1.0,1.0,,1,1.0,
2022,2,1,기랄안드레스,회계원리(1),(분반2),0.923,0.909,0.927,11,2.0,11.0
2020,2,0,기랄안드레스,회계원리(1),None,0.786,1.0,0.25,12,1.0,12.0
2022,1,0,기랄안드레스,회계원리(1),(분반2),1.0,1.0,1.0,1,1.0,1.0
2022,2,2,최동준,회계원리(1),None,0.613,,0.613,12,,12.0
2023,1,2,이호영,회계원리(1),None,0.885,0.885,,7,7.0,
2022,1,0,최원욱,회계원리(1),(분반1),0.346,0.346,,12,12.0,
2023,1,1,최원욱,회계원리(1),(분반2),0.5,,0.5,12,,12.0
2023,1,2,지은상,회계원리(1),None,0.966,0.966,,12,12.0,
2022,2,1,문태곤,회계원리(1),None,0.702,0.867,0.667,12,9.0,12.0
2021,1,0,김종환,회계원리(1),None,0.763,1.0,0.471,12,1.0,12.0
2021,1,0,최원욱,회계원리(1),(분반1),0.376,0.376,,12,12.0,
2021,2,0,기랄안드레스,회계원리(1),None,1.0,1.0,1.0,1,1.0,1.0
2022,2,2,이호영,회계원리(1),(분반1),1.0,1.0,,1,1.0,
2022,1,0,지은상,회계원리(1),None,0.978,0.978,,7,7.0,
2022,2,2,지은상,회계원리(1),(분반1),0.697,0.966,0.567,12,5.0,12.0
2023,1,1,최원욱,회계원리(1),(분반1),0.851,0.851,,12,12.0,
2021,1,0,기랄안드레스,회계원리(1),(분반2),0.821,1.0,0.808,5,1.0,5.0
2022,1,0,이한솔,회계원리(1),None,0.261,0.372,0.0,12,12.0,12.0
2022,1,0,정수미,회계원리(1),None,0.721,1.0,0.564,12,1.0,12.0
2023,1,1,문태곤,회계원리(1),None,0.301,0.71,0.129,12,12.0,12.0
2022,2,1,최원욱,회계원리(1),None,0.548,0.548,,12,12.0,
2022,1,0,이호영,회계원리(1),None,1.0,1.0,,1,1.0,
2022,2,1,기랄안드레스,회계원리(1),(분반1),0.873,1.0,0.841,7,1.0,7.0
2020,2,0,손성규,회계원리(1),None,1.0,1.0,,1,1.0,
2022,1,0,기랄안드레스,회계원리(1),(분반1),1.0,1.0,1.0,1,1.0,1.0
2021,2,0,정수미,회계원리(1),None,1.0,1.0,1.0,1,1.0,1.0
2023,1,1,최동준,회계원리(1),None,0.29,0.706,0.105,12,12.0,12.0
2022,2,1,정수미,회계원리(1),None,0.755,1.0,0.0,12,1.0,12.0
2021,2,1,손셩규,회계원리(1),None,0.708,1.0,0.581,12,1.0,12.0
2021,2,0,이한솔,회계원리(1),None,0.456,0.836,0.186,12,12.0,12.0
2020,2,1,박주형,회계원리(1),(분반2),0.33,,0.33,12,,12.0
2020,2,1,박주형,회계원리(1),(분반1),0.356,1.0,0.12,12,1.0,12.0
2023,1,1,기랄안드레스,회계원리(1),None,0.859,1.0,0.848,12,1.0,12.0
2020,2,1,김종환,회계원리(1),None,0.583,0.885,0.488,12,10.0,12.0
2021,1,0,이한솔,회계원리(1),None,0.581,0.958,0.216,12,12.0,12.0
2021,1,0,이호영,회계원리(1),None,0.95,0.95,,3,3.0,
2021,2,0,박주형,회계원리(1),None,0.304,,0.304,12,,12.0
2021,2,0,최원욱,회계원리(1),None,0.492,0.492,,12,12.0,
2022,1,0,최원욱,회계원리(1),(분반2),0.325,,0.325,12,,12.0
2021,1,0,김보경,전략경영,None,0.844,0.829,0.9,12,12.0,12.0
2021,1,0,김지현,전략경영,None,0.645,0.678,0.0,12,12.0,12.0
2021,1,0,김보경,전략경영,2,0.792,0.778,0.824,12,12.0,1.0
2021,2,0,김보경,전략경영,None,0.59,0.558,0.778,12,12.0,1.0
2021,2,0,류원상,전략경영,2,1.0,1.0,1.0,1,1.0,1.0
2021,2,0,류원상,전략경영,None,0.727,0.7,1.0,12,12.0,1.0
2021,1,0,권구혁,전략경영,2,0.972,0.972,,1,1.0,
2021,2,0,박경민,전략경영,None,0.43,0.466,0.0,12,12.0,12.0
2021,1,0,권구혁,전략경영,None,0.721,0.721,,4,4.0,
2021,1,0,박경민,전략경영,None,0.386,0.45,0.0,12,12.0,12.0
2020,2,1,김지현,전략경영,None,0.62,0.692,0.214,12,12.0,12.0
2020,2,1,박경민,전략경영,None,1.0,1.0,,1,1.0,
2020,2,2,김보경,전략경영,None,0.92,1.0,0.0,1,1.0,1.0
